full_word,sentence_word_index,total_word_index,score
bbes,1,28,0.5731253623962402
napoléon,29,245,0.9578272700309753
sorel,33,1078,0.9011058807373047
sorel,17,1142,0.8886005878448486
sorel,4,1219,0.6944674253463745
sorel,39,1358,0.9876241683959961
valenod,0,2017,0.7188354134559631
chélan,18,2256,0.9643898010253906
appert,0,2789,0.7022048234939575
fleury,0,2972,0.7025604844093323
appert,0,3040,0.8725384473800659
chélan,30,3099,0.954258143901825
appert,0,3199,0.9796675443649292
appert,0,3264,0.9820263385772705
appert,0,3383,0.8500880002975464
app,0,3439,0.7002626061439514
valenod,0,3694,0.954642117023468
chélan,0,3718,0.9887572526931763
valenod,0,3915,0.9110536575317383
messieurs,14,4013,0.6088159680366516
sorel,18,4211,0.9917886853218079
sorel,46,4329,0.9428972601890564
buonaparté,7,4384,0.9877396821975708
sorel,7,4413,0.9954754710197449
sorel,43,4473,0.9892683625221252
libéraux,8,4663,0.45279979705810547
valenod,0,4889,0.9919936060905457
valenod,0,4923,0.9954941272735596
valenod,0,4994,0.8024358153343201
rênal,4,5281,0.9758691787719727
orléans,22,5299,0.9957268834114075
ducrest,0,5333,0.980601966381073
orléans,40,5399,0.6189442276954651
machiavelli,0,5450,0.9608996510505676
sorel,32,5482,0.9841321706771851
sorel,2,5675,0.9939293265342712
julien,31,5704,0.9249613285064697
sorel,3,5764,0.9985765218734741
julien,5,5848,0.7120134234428406
maire,4,5914,0.44724521040916443
sorel,1,5917,0.9835188388824463
valenod,57,5973,0.7429232597351074
sorel,10,5985,0.9942187070846558
sorel,8,6167,0.9784096479415894
julien,10,6169,0.6709326505661011
tentor,16,6175,0.5442157983779907
ju,15,6265,0.523377001285553
ju,13,6319,0.5166023969650269
sorel,8,6330,0.9896948337554932
julien,17,6339,0.8693856000900269
julien,8,6385,0.599073052406311
curé,14,6577,0.5066949725151062
julien,0,6584,0.9642263054847717
ju,2,6705,0.5224258303642273
sorel,12,6715,0.9562052488327026
sorel,6,7064,0.9903237819671631
julien,7,7164,0.5779755115509033
cunctando,4,7270,0.9397916197776794
rem,6,7272,0.8708903193473816
chien,15,7289,0.4375477731227875
lisard,17,7291,0.7597664594650269
julien,45,7319,0.9090101718902588
dieu,90,7364,0.45680639147758484
julien,45,7319,0.9135720729827881
sorel,5,7557,0.987200915813446
