full_word,sentence_word_index,total_word_index,score
hobbes,0,34,0.6076744198799133
hobbes,0,34,0.5385639071464539
res,7,780,0.62737637758255
é,21,1009,0.9985281825065613
é,21,1009,0.8508565425872803
espace,68,1285,0.9435502886772156
espace,68,1285,0.9407047033309937
espace,68,1285,0.9376444220542908
sapin,17,1471,0.9545557498931885
sapin,17,1471,0.9518125653266907
ans,16,1563,0.9828343391418457
ans,16,1563,0.9821640849113464
ans,16,1563,0.9816910624504089
putation,6,1893,0.7612378001213074
putation,6,1893,0.821702241897583
mit,8,1983,0.9977800250053406
mit,8,1983,0.9977430701255798
mit,8,1983,0.9976838827133179
é,19,2279,0.5706607699394226
é,19,2279,0.5838713645935059
valenod,0,2355,0.677187979221344
valenod,0,2355,0.7423329949378967
valenod,0,2355,0.7369769215583801
valu,39,2431,0.9688243865966797
jardinier,22,2578,0.646311342716217
officiel,23,2579,0.7679057121276855
officiel,23,2579,0.7393609881401062
officiel,23,2579,0.6072251200675964
è,19,2667,0.9744633436203003
è,19,2667,0.9369819760322571
res,20,2668,0.894223153591156
jour,46,2694,0.9934225082397461
jour,46,2694,0.9935426712036133
jour,46,2694,0.9931531548500061
grave,12,3028,0.9771602153778076
grave,12,3028,0.9882621765136719
mme,0,3106,0.5178661346435547
repentir,25,3131,0.9131194353103638
appert,0,3247,0.7017392516136169
appert,0,3247,0.7026730179786682
maire,51,3298,0.5614659786224365
fleury,0,3458,0.6900777816772461
fleury,0,3458,0.7150363922119141
ment,8,3537,0.496376633644104
ment,8,3537,0.6004213094711304
appert,0,3546,0.8612396717071533
appert,0,3546,0.8838362097740173
marquis,11,3595,0.9488803148269653
taire,26,3610,0.9520649313926697
taire,26,3610,0.9564509987831116
oseraient,20,3644,0.6343454718589783
appert,0,3735,0.9796523451805115
appert,0,3735,0.979682445526123
appert,0,3818,0.9799461364746094
appert,0,3818,0.9841066598892212
appert,0,3969,0.8476458787918091
appert,0,3969,0.8525288701057434
appert,0,4032,0.7002597451210022
accompagner,29,4096,0.749061107635498
reprit,51,4197,0.916921854019165
valenod,0,4327,0.9459366202354431
valenod,0,4327,0.9579386115074158
valenod,0,4327,0.960049569606781
ch,0,4363,0.988956868648529
ch,0,4363,0.9885576963424683
valenod,0,4590,0.875764012336731
valenod,0,4590,0.9315301775932312
valenod,0,4590,0.9258648753166199
tomber,11,4857,0.5561091303825378
emp,12,4858,0.6946668028831482
ê,13,4859,0.9914247393608093
ê,13,4859,0.9912785291671753
ê,13,4859,0.9908760786056519
fils,23,4936,0.6476272344589233
scieur,25,4938,0.9893457293510437
scieur,25,4938,0.9887468218803406
scieur,25,4938,0.988498330116272
é,35,5050,0.9437913298606873
é,35,5050,0.9420029520988464
buonapart,7,5128,0.9884815812110901
