,component 0,component 1,index_inter
0,-2.0004914,9.322146,1366
1,-11.314229,-13.3661995,1373
2,-4.8498726,1.6942757,1375
3,-16.166624,-3.3455098,1413
4,-4.919404,0.92416304,1586
5,0.5754069,0.38666257,1593
6,-5.2082915,4.616137,1614
7,-7.435733,0.9664831,1634
8,0.18205048,1.2771055,1653
9,-0.18433927,0.70747,1667
10,-0.71577543,-1.7406563,1683
11,-0.751161,0.047730323,1686
12,-0.40842417,-0.57946,1688
13,0.2861349,-2.0885203,1702
14,-31.602566,-4.5720606,1706
15,-0.5130614,-14.086736,1716
16,5.099271,-3.8279133,1760
17,6.885892,-1.3615164,1769
18,14.984763,-2.2881942,1777
19,-0.8692182,-3.2675467,1781
20,-4.3236113,-1.5393608,1787
21,-11.783252,-23.095654,1831
22,-2.2147045,-0.29911733,1838
23,-6.2000813,-4.664631,1848
24,-2.3622715,-2.9165456,1850
25,-15.632785,5.5016026,1863
26,-2.3271828,-5.669749,1906
27,-0.932126,-1.5504928,1909
28,-5.193773,-1.368668,1911
29,0.41397238,1.6329958,1913
30,-1.1974992,1.2511891,1915
31,1.5829786,-7.600117,1928
32,0.2598426,-0.92784584,1932
33,10.888737,-0.12485292,1933
34,-0.51772636,-4.8400087,1941
35,-0.3375323,-4.606286,1945
36,16.441334,-10.53165,1946
37,10.631746,-0.9096416,1950
38,6.5652103,-9.415088,1968
39,2.2920566,-11.49607,1986
40,-3.0226018,-2.515653,1988
41,1.9614002,27.639664,2001
42,10.2599325,-0.4812448,2002
43,-13.06013,13.8522,2007
44,8.753696,-10.652141,2008
45,0.47902036,-0.15626621,2014
46,-3.0532832,1.7204403,2017
47,-4.1440005,2.7376215,2024
48,-4.5008907,3.1486259,2025
49,-1.4828355,7.794247,2043
50,0.30458605,1.1020522,2045
51,-3.0904298,1.8882438,2047
52,-15.518539,25.099768,2051
53,16.149286,24.678001,2058
54,-9.151985,-4.3485413,2061
55,2.5333965,-3.5384028,2069
56,0.13217363,8.2897415,2070
57,-0.6080394,-7.8776164,2071
58,-15.410057,-5.3671527,2072
59,10.880402,-30.6313,2076
60,9.198308,-8.855396,2083
61,4.312358,-4.7991753,2092
62,-1.0163814,-6.731535,2096
63,-0.12577611,2.0621133,2100
64,-3.812527,-2.182116,2109
65,2.4163208,-15.090945,2112
66,-0.31100985,-0.30230504,2241
67,-16.319057,1.8215252,2358
68,0.41723144,0.5522243,2362
69,1.0501251,-8.414777,2378
70,-1.422077,0.22312516,2379
71,6.5708594,-4.5190883,2425
72,-6.9556103,3.5096128,2428
73,-8.378068,2.7564254,2440
74,3.2904575,-3.4047663,2443
75,-6.087509,5.997387,2453
76,-15.761805,-4.564846,2471
77,-5.8824596,2.2627895,2473
78,-7.523202,10.064794,2474
79,-2.8117821,0.011506202,2506
80,-2.1264138,-0.1561732,2509
81,-2.8856168,-7.857068,2510
82,-7.5680957,0.5311884,2512
83,-0.34129202,9.11706,2531
84,2.1331291,-11.657449,2537
85,5.4367294,-12.787533,2573
86,-2.7497346,-5.411475,2601
87,2.5399017,-0.9395526,2608
88,1.3062768,-14.455842,2609
89,-5.2090325,-7.9257474,2616
90,-1.7189469,-2.7827096,2626
91,-1.0471228,-2.7442303,2633
92,-0.047079746,8.342536,2647
93,8.345639,5.723884,2655
94,0.24368177,-7.6787844,2656
95,3.9768229,-1.3393008,2750
96,-29.58307,-1.7018183,2755
97,-9.121223,7.1845546,2785
98,-10.889485,3.1165743,2786
99,8.612123,-3.2467248,2791
100,-0.9007236,-0.6630744,2830
101,2.033803,-13.493789,2862
102,-5.9922113,-4.946103,2880
