,component 0,component 1,index_inter
0,17.801422,2.0895607,1366
1,-1.6646723,11.293759,1373
2,13.277912,12.079965,1375
3,1.2613004,2.8286655,1413
4,8.617293,3.4852617,1586
5,17.00857,-4.4247627,1593
6,-0.9719064,12.024854,1614
7,0.22180416,15.454691,1634
8,5.688871,5.107792,1653
9,-1.6287332,12.01681,1667
10,-2.3148673,11.9694395,1683
11,4.567361,10.693913,1686
12,8.881525,4.7624865,1688
13,-0.8781701,5.488442,1702
14,17.771832,0.7356173,1706
15,9.9976,-6.1628785,1716
16,10.221715,8.324365,1760
17,3.846527,13.37749,1769
18,2.5933192,13.583689,1777
19,14.16534,-7.3666153,1781
20,15.989362,-18.346483,1787
21,6.821252,-0.4737306,1831
22,8.7321615,16.3954,1838
23,5.3258862,5.5198636,1848
24,10.902671,13.824037,1850
25,0.52391577,2.2530432,1863
26,-1.2691007,-3.0826967,1906
27,12.029519,12.036377,1909
28,6.030605,1.7074353,1911
29,8.386426,14.730718,1913
30,5.162857,7.67317,1915
31,12.134874,5.0418463,1928
32,2.9053507,7.0015984,1932
33,15.529319,4.2704263,1933
34,5.0462027,0.18397741,1941
35,15.621192,0.5741921,1945
36,2.6913822,12.370309,1946
37,4.636355,3.3460407,1950
38,2.8067143,-0.37612686,1968
39,14.288012,6.1125665,1986
40,1.4479924,2.4522612,1988
41,18.294754,21.170006,2001
42,9.602002,8.3723,2002
43,10.396232,8.8693495,2007
44,-5.157478,-2.4209316,2008
45,6.2201366,9.851375,2014
46,-3.279585,2.6341994,2017
47,1.3448933,2.8395956,2024
48,5.791219,14.321862,2025
49,4.2861047,14.369929,2043
50,7.375611,5.2288246,2045
51,6.413219,4.5427737,2047
52,7.470701,-2.0966809,2051
53,10.9769335,2.9048557,2058
54,-6.052364,4.500995,2061
55,10.176932,1.17405,2069
56,5.0939717,5.7076626,2070
57,-1.1133188,9.035062,2071
58,4.7564545,11.0417,2072
59,15.595949,-2.4328308,2076
60,2.624484,9.188823,2083
61,18.436766,13.923395,2092
62,7.2537208,3.6914935,2096
63,10.665045,5.7549167,2100
64,5.4584937,3.09514,2109
65,6.270616,5.4039073,2112
66,1.7551545,2.6075904,2241
67,3.3356097,0.63235617,2358
68,1.8311372,1.1448389,2362
69,16.150978,2.6029835,2378
70,6.1204324,14.408412,2379
71,6.93963,4.3849764,2425
72,12.277693,-0.24443078,2428
73,0.9499576,-1.8405946,2440
74,14.349799,-0.8737135,2443
75,-3.033498,-1.9376063,2453
76,9.517106,13.345037,2471
77,3.8807225,6.6333513,2473
78,5.1935244,2.2987165,2474
79,-3.7684639,13.712562,2506
80,8.245048,0.38213837,2509
81,15.989362,-18.346483,2510
82,0.9491276,2.7202995,2512
83,6.715197,22.338964,2531
84,1.7367575,5.649871,2537
85,10.308472,-5.686069,2573
86,5.7667494,12.838037,2601
87,-11.893843,13.94741,2608
88,6.8665953,8.670563,2609
89,18.129187,3.4074018,2616
90,1.7594209,6.843051,2626
91,3.306897,6.716186,2633
92,12.381364,-8.021409,2647
93,10.073794,0.30262756,2655
94,1.51203,34.28,2656
95,7.9952517,8.124971,2750
96,5.8091826,13.565244,2755
97,22.570438,13.223963,2785
98,13.691939,-1.8926744,2786
99,13.391127,7.282115,2791
100,1.1277705,-0.33106422,2830
101,3.9822392,6.7316904,2862
102,10.505691,10.248588,2880
