,component 0,component 1,index_inter
0,-0.25625718,9.04318,104
1,-14.156903,-16.30882,109
2,3.7490797,-4.3482013,111
3,-5.8504,54.024334,115
4,7.924049,1.597512,117
5,-13.046498,6.3621564,119
6,-8.634359,-4.1128917,123
7,-4.3197756,2.6030717,125
8,-1.8958004,-4.067271,127
9,-3.543987,-0.87768155,128
10,2.4401898,1.7768253,134
11,1.5660175,-1.480342,162
12,-14.715259,-9.118603,166
13,1.4712871,4.366166,172
14,1.9105792,-2.2689369,173
15,7.235739,16.100092,175
16,1.070272,1.5244093,182
17,6.548626,2.411479,184
18,9.388036,-1.2541076,188
19,-3.3483129,0.72631633,200
20,-1.4944509,-6.691852,204
21,3.6029727,1.6302533,205
22,8.693701,4.394825,218
23,2.2275784,-3.7820797,221
24,-5.964511,-0.9784179,224
25,-2.0595286,0.67828935,227
26,-0.5720502,-3.7827225,228
27,-7.226884,-3.4140399,230
28,-5.318761,14.116572,237
29,-2.2826943,-1.8462768,244
30,-2.318186,6.846182,249
31,-25.44591,13.622415,257
32,1.1642904,-1.8442823,259
33,2.4662433,-0.2584742,266
34,12.164437,-1.4870485,289
35,-3.8275757,-10.907483,294
36,19.783924,-3.5256305,301
37,13.483971,1.2339271,304
38,-3.7140388,-1.9969684,337
39,-9.714455,-0.1721233,345
40,-2.2559493,5.0005026,352
41,4.273414,-2.1625888,353
42,-7.7318583,1.4042073,357
43,-0.53732574,2.730667,364
44,6.198598,1.8353993,367
45,-1.3920431,0.05105769,390
46,-8.804533,-12.222067,396
47,3.7768095,5.131573,397
48,-3.8206246,21.667692,406
49,5.2238207,8.329235,410
50,-9.339118,3.4739041,419
51,-51.336475,-6.9249716,424
52,0.42973456,2.4058483,427
53,2.1791093,8.026892,437
54,-9.882734,15.464766,438
55,-5.9938703,-3.4068666,444
56,-5.5890055,4.816951,451
57,-12.68466,7.3294816,452
58,-4.910689,-2.9527566,454
59,3.0598972,-4.4715915,459
60,1.6447664,-1.8587973,467
61,-6.8112636,3.1975307,469
62,2.9928527,-2.01973,481
63,22.41046,-2.6944387,485
64,0.4733484,-0.6867713,491
65,1.0296156,-1.2686402,495
66,-0.25458384,4.5000515,496
67,2.5259614,-1.3288434,505
68,-6.2307706,-2.625326,508
69,8.007761,1.9929985,515
70,-4.9273005,0.13649292,590
71,-1.1203594,-7.476848,603
72,-0.9195828,2.202301,620
73,-16.880764,6.058416,623
74,-7.490443,15.604466,635
75,3.377694,-7.5378575,637
76,0.5816834,0.89687306,682
77,5.651751,-8.296148,695
78,0.91691387,7.6154666,698
79,8.778676,-4.012797,711
80,2.6954722,9.641521,729
81,-2.1173441,-1.31998,753
82,3.2186272,4.7684226,760
83,-1.59567,-15.335134,764
84,4.3831773,0.18846203,778
85,-0.14756644,9.325825,779
86,8.467345,-7.382502,794
87,8.491711,-7.0027084,817
88,-21.249744,11.31017,831
89,2.923591,-0.35563827,837
90,6.5830145,-0.19476382,848
91,4.768869,0.08428315,856
92,8.06992,7.6912403,862
93,-15.358934,-4.962451,1073
94,1.0497676,-11.315716,1100
95,21.673811,8.476121,1208
96,-7.650878,-12.626066,1222
97,-7.233341,2.3336852,1227
98,2.0692716,1.0395766,1230
99,3.889497,4.70073,1234
100,-6.671428,-3.7956996,1236
101,-4.185878,-6.3799157,1242
102,6.890602,0.6110484,1248
103,5.1351013,5.898673,1252
104,-23.361414,-8.758998,1257
105,11.331898,-12.752492,1444
106,1.489053,1.8845437,1551
107,0.6725536,7.0248733,1691
108,3.4081333,-1.7882308,1766
109,-1.487352,-0.4590653,1929
110,-15.048577,5.5496683,2650
111,-7.183585,-5.0690947,2660
112,-3.4899163,-3.7021434,2661
113,-7.520794,6.5622087,2695
114,9.90506,23.471764,2911
115,16.944061,4.9614725,2924
116,1.0112025,-11.568618,2936
117,0.83131945,-7.0177326,2968
118,-5.996682,-0.5700385,3002
119,9.6348505,-0.21132958,3022
120,-4.4579253,13.054701,3045
