,component 0,component 1,index_inter
0,29.019625,3.942013,104
1,4.0802274,8.9739485,109
2,4.882033,9.033349,111
3,17.853619,-2.4727018,115
4,-4.958822,3.9571533,117
5,13.992968,3.4806962,119
6,29.395714,13.552018,123
7,4.8012094,9.994753,125
8,15.3596,13.857752,127
9,2.4827976,-3.9010575,128
10,3.8018785,4.9988856,134
11,3.8649807,0.8885767,162
12,18.331745,3.061915,166
13,21.578173,8.066077,172
14,8.17733,8.724041,173
15,8.808262,-1.577632,175
16,15.73862,2.8484635,182
17,19.656807,12.867158,184
18,0.7699124,20.820507,188
19,18.462147,10.374648,200
20,4.740039,0.29009855,204
21,3.5375512,5.544768,205
22,0.25253618,0.7723683,218
23,11.557107,-3.570208,221
24,15.224375,10.010642,224
25,14.922322,10.123845,227
26,10.584584,5.7566843,228
27,-2.8975585,8.362403,230
28,15.989362,-18.346483,237
29,-1.2291989,8.857084,244
30,-0.23292342,2.4472082,249
31,5.5454507,-5.527978,257
32,4.077152,-2.9466157,259
33,2.1900527,9.299635,266
34,13.949834,11.842258,289
35,3.9923196,-5.0922627,294
36,11.647288,4.772741,301
37,6.676617,-3.3274572,304
38,11.136662,-5.5629315,337
39,11.7689085,24.458206,345
40,13.73337,8.1874485,352
41,0.35385436,3.3375285,353
42,15.631668,12.61155,357
43,-1.7608479,-3.0454404,364
44,-1.8858901,-0.13496813,367
45,-13.091715,8.492139,390
46,12.177111,5.6872535,396
47,-3.5640914,13.272299,397
48,8.424941,14.003966,406
49,5.3340135,8.050994,410
50,2.550868,-1.0617571,419
51,-6.404878,0.89849514,424
52,5.6076827,-3.29945,427
53,6.7253766,12.465794,437
54,17.857878,1.5060875,438
55,15.588272,11.188769,444
56,7.486443,9.54969,451
57,-0.3720709,-1.6814649,452
58,0.9499576,-1.8405946,454
59,-2.133851,8.588112,459
60,8.925723,3.0779939,467
61,16.193695,16.549541,469
62,3.1498344,-1.8218201,481
63,12.169448,-2.4388144,485
64,2.6671102,18.813614,491
65,1.8053328,14.812764,495
66,3.1372938,14.007476,496
67,7.0390406,5.679582,505
68,17.416185,-7.966917,508
69,10.409274,15.402791,515
70,3.8919225,-3.9219038,590
71,-1.7026266,4.399963,603
72,-2.83407,9.270672,620
73,8.043288,18.370523,623
74,9.755648,7.2187805,635
75,15.138671,16.778572,637
76,2.5236979,11.395206,682
77,5.0642576,4.1868668,695
78,7.0282474,5.9906545,698
79,5.8245244,2.023423,711
80,1.748511,-0.27020088,729
81,3.4991128,-7.0144997,753
82,8.0353,-8.90462,760
83,-10.131403,5.651613,764
84,-0.63712144,14.352708,778
85,6.6660514,-3.0426779,779
86,25.268673,9.8402605,794
87,0.9499576,-1.8405946,817
88,-0.8135262,-18.655245,831
89,-8.953486,-3.4238079,837
90,4.744276,1.2622235,848
91,7.9959435,0.51676285,856
92,12.015942,16.403475,862
93,-8.195211,3.8477178,1073
94,15.908824,5.5451727,1100
95,16.445316,15.754466,1208
96,-7.162511,10.097029,1222
97,15.837105,18.835781,1227
98,5.7254133,10.147166,1230
99,-0.6152692,6.454312,1234
100,6.0255904,2.9149442,1236
101,16.19761,6.977885,1242
102,5.6304255,11.6853895,1248
103,10.221715,8.324365,1252
104,5.5988617,-7.7020435,1257
105,5.8815155,7.362522,1444
106,7.8886924,3.7091742,1551
107,5.700145,-0.555183,1691
108,-7.051867,3.6652508,1766
109,-2.273448,14.300933,1929
110,-9.342595,15.17924,2650
111,5.1307216,7.0932546,2660
112,13.784088,3.3236973,2661
113,9.861167,-1.5041431,2695
114,6.265719,19.372,2911
115,-1.2878826,12.855837,2924
116,29.149462,3.1677203,2936
117,-18.87986,5.3160434,2968
118,10.694863,4.2079167,3002
119,-2.0564163,5.894228,3022
120,7.1688256,18.74013,3045
