,component 0,component 1,index_inter
0,0.5332376,1.5663892,1366
1,5.764099,-7.229536,1373
2,-9.008648,-12.359603,1375
3,-7.4783964,-12.507272,1413
4,-19.350412,4.2188144,1586
5,-5.534123,0.13286892,1593
6,-6.0129824,-12.532276,1614
7,9.944793,-2.0404692,1634
8,-0.02633966,2.4900875,1653
9,-2.2491472,-5.645105,1667
10,0.84739816,-1.1743103,1683
11,-0.66613525,-0.58120716,1686
12,-0.71186,3.652041,1688
13,11.252488,-2.3154182,1702
14,5.2871633,19.127567,1706
15,-17.028717,-11.389338,1716
16,-6.1395717,-3.9128761,1760
17,0.34080258,3.8429198,1769
18,3.766886,4.6241436,1777
19,0.6390132,24.551382,1781
20,-11.712156,-35.148872,1787
21,-1.7226831,-3.6949584,1831
22,3.7902012,0.3792708,1838
23,5.5520134,6.2097187,1848
24,-16.100206,9.777384,1850
25,4.5858192,0.4746679,1863
26,-2.1438022,2.9143934,1906
27,-4.314222,2.3313017,1909
28,13.390705,-0.5768695,1911
29,-0.039604645,0.08622287,1913
30,8.391441,-0.5989213,1915
31,-7.2751093,1.3967891,1928
32,3.2921293,3.8420293,1932
33,-10.960139,2.8800988,1933
34,18.705652,16.508396,1941
35,-4.6871014,2.401243,1945
36,-0.71682316,-3.924209,1946
37,5.56968,8.957087,1950
38,15.648048,-2.6747837,1968
39,-3.7200818,0.584975,1986
40,-0.45429572,-1.5305555,1988
41,-18.877806,-18.394222,2001
42,-6.101947,1.6576353,2002
43,-3.054676,-9.098413,2007
44,-5.698195,8.777472,2008
45,5.1856966,-1.6723315,2014
46,-1.257688,0.6101976,2017
47,4.5024266,-5.8766446,2024
48,-3.7704508,-6.0876637,2025
49,-3.0078,-6.753183,2043
50,0.012669673,2.5954585,2045
51,-5.3355827,0.7892718,2047
52,13.774439,17.389206,2051
53,-8.971974,-8.379916,2058
54,-18.546799,-4.9716134,2061
55,-4.9101086,3.0542357,2069
56,6.9052625,-1.2239884,2070
57,14.00435,2.861306,2071
58,-1.9120702,-10.146069,2072
59,-4.51669,24.8149,2076
60,7.686701,14.419822,2083
61,-1.5834444,1.5872021,2092
62,-1.2257214,-1.4447765,2096
63,-2.5909445,2.885081,2100
64,1.6058737,-1.2786049,2109
65,-7.054253,-16.319773,2112
66,-10.846988,1.2279454,2241
67,-4.8217278,0.8856785,2358
68,-3.8981998,7.04566,2362
69,-0.7587818,6.0908556,2378
70,3.3174808,1.038462,2379
71,-1.2439872,11.308815,2425
72,6.8956017,-7.6989536,2428
73,32.781937,-35.810966,2440
74,1.9303656,-5.6171165,2443
75,2.544463,-5.4178424,2453
76,9.586854,2.2492871,2471
77,-5.710736,-10.158135,2473
78,-0.6226617,-1.3170699,2474
79,0.7710531,-1.8214654,2506
80,44.493935,-8.283357,2509
81,-5.50987,3.459642,2510
82,1.3271666,2.7746277,2512
83,0.77110666,17.109507,2531
84,12.3210335,6.508035,2537
85,-7.069039,-10.10014,2573
86,2.3506422,5.283104,2601
87,4.8739133,1.0474731,2608
88,-20.100729,2.721776,2609
89,-19.80623,6.2487583,2616
90,-9.995854,-0.6125148,2626
91,-0.64915323,5.9303527,2633
92,6.5892315,1.525821,2647
93,-8.319661,11.2100315,2655
94,3.371551,0.18872397,2656
95,0.19275197,0.29868078,2750
96,33.217926,1.1863453,2755
97,2.5899358,5.4804034,2785
98,-12.060285,0.89018613,2786
99,3.9370105,-1.6459808,2791
100,4.9878545,0.8802629,2830
101,-1.4576776,-12.517878,2862
102,-1.152255,0.40317586,2880
