,component 0,component 1,index_inter
0,0.60059404,-3.1891162,1366
1,24.027754,-42.799324,1373
2,-21.313534,6.2428355,1375
3,-18.831112,2.3062675,1413
4,-2.411112,-12.07985,1586
5,-1.5826402,1.886357,1593
6,-13.551994,-13.0557785,1614
7,-5.4207535,18.601305,1634
8,-0.44859543,-3.6458774,1653
9,2.6520596,2.2667913,1667
10,-2.305403,-3.2155848,1683
11,-0.26579714,2.931609,1686
12,2.0851214,-0.42634717,1688
13,-13.899444,-0.6866913,1702
14,11.112976,13.779823,1706
15,-0.1016836,-0.41985506,1716
16,-16.033234,-17.179312,1760
17,-2.4648979,-1.5900022,1769
18,2.266787,-9.443665,1777
19,-42.262012,14.939745,1781
20,-4.7669153,-6.8345957,1787
21,-7.372338,5.309152,1831
22,1.657379,-1.5383326,1838
23,-7.2418575,-2.949618,1848
24,-1.7695637,-21.00666,1850
25,-14.355873,10.047574,1863
26,-1.15141,12.5550585,1906
27,3.3142118,3.3275175,1909
28,-3.7325697,-4.3101654,1911
29,4.500039,-6.4507422,1913
30,1.1037965,-0.5633345,1915
31,-1.1795614,14.888312,1928
32,-2.7615752,0.57585144,1932
33,17.058289,0.9065085,1933
34,-3.9714198,-7.1463046,1941
35,-1.3180312,5.4825697,1945
36,-4.7462807,2.8868275,1946
37,-3.462893,-3.975315,1950
38,9.944781,-15.062259,1968
39,4.5037823,-6.5296793,1986
40,-1.3418686,-4.6753697,1988
41,19.784018,16.737896,2001
42,9.395082,-4.2392225,2002
43,10.242599,-3.1253793,2007
44,-1.2891906,-27.174053,2008
45,0.34009418,1.7414688,2014
46,-2.2520876,1.6388155,2017
47,8.646179,2.1401575,2024
48,6.135405,1.8910403,2025
49,-2.9241543,-14.561585,2043
50,-2.0301504,-2.799569,2045
51,-1.1266851,5.4313197,2047
52,-5.6703615,10.05289,2051
53,2.8308723,-0.871323,2058
54,9.222374,-8.662795,2061
55,-0.71312845,-5.6502476,2069
56,0.601909,-1.2634295,2070
57,-0.24971847,3.0296752,2071
58,-12.352182,-3.48632,2072
59,-0.46826798,2.799711,2076
60,-7.889959,-4.6092925,2083
61,4.4610057,-4.984715,2092
62,-0.45255548,3.7880876,2096
63,3.0281866,0.7441261,2100
64,0.5606343,0.37868854,2109
65,13.520764,0.47255906,2112
66,-23.526178,-20.16099,2241
67,-2.689907,-0.47310004,2358
68,3.1710577,-4.5929823,2362
69,2.587522,31.514751,2378
70,3.592869,-0.7161325,2379
71,-1.7829072,2.514874,2425
72,-0.910504,-2.09303,2428
73,-14.796317,6.5772905,2440
74,-3.6118677,0.52063257,2443
75,0.45496637,-14.978236,2453
76,-20.768572,-2.6798058,2471
77,12.282867,-4.641204,2473
78,-2.4617167,1.8600161,2474
79,-6.285101,-1.0078381,2506
80,6.762327,4.154585,2509
81,6.049094,6.0645866,2510
82,5.734942,6.605497,2512
83,1.3185779,-11.0022,2531
84,11.319002,6.5011315,2537
85,3.6721225,-22.089462,2573
86,-0.9036377,1.2190491,2601
87,-9.543702,2.1605606,2608
88,-9.244876,4.246769,2609
89,1.6690102,-11.491806,2616
90,1.0294166,1.6617093,2626
91,-14.723824,-1.767927,2633
92,7.03438,-0.8365956,2647
93,1.6274265,26.185371,2655
94,-1.941282,3.6807523,2656
95,0.036016703,-0.57133126,2750
96,-29.667511,-2.5101871,2755
97,1.3340467,-18.142786,2785
98,6.738832,14.008235,2786
99,-0.530864,-3.014443,2791
100,1.0795958,-0.35302535,2830
101,2.5763881,1.1706935,2862
102,-9.678802,3.7762258,2880
