full_word,sentence_word_index,total_word_index,score
steerforth,96,179,0.97197205
em,103,186,0.5217192
dick,122,205,0.99967575
tommy,147,230,0.99744534
micawber,153,236,0.9593565
steerforth,5,244,0.9913169
dick,85,324,0.9980469
peggotty,2,351,0.9712713
micawber,31,380,0.94209355
betsey,5,2040,0.9732502
betsey,9,2157,0.96844745
betsey,4,2356,0.9589481
betsey,15,2612,0.97184455
betsey,19,2754,0.94238675
betsey,1,2782,0.97857463
betsey,9,2866,0.98645633
trotwood,41,2898,0.9966299
betsey,28,2954,0.9432759
betsey,52,3021,0.9429436
betsey,52,3021,0.9478518
betsey,52,3021,0.9600092
betsey,41,3175,0.8317597
betsey,15,3259,0.98877
betsey,15,3259,0.9803904
betsey,15,3259,0.9876511
copperfield,146,3390,0.9569935
betsey,15,3259,0.9154923
betsey,82,3538,0.93857235
betsey,82,3538,0.94106185
copperfield,139,3595,0.999429
betsey,82,3538,0.94460595
copperfield,139,3595,0.9976169
betsey,9,3785,0.95307153
betsey,38,3841,0.969012
betsey,19,3916,0.9655349
betsey,19,3916,0.96776426
betsey,41,4011,0.958639
peggotty,9,4053,0.72418237
peg,9,4053,0.9415339
betsey,22,4066,0.9796858
peggotty,9,4053,0.6822626
copperfield,72,4116,0.9904586
peggo,9,4053,0.73081136
betsey,22,4066,0.9623506
betsey,58,4216,0.9899811
betsey,47,4335,0.9521065
betsey,14,4440,0.9805788
david,55,4529,0.9997117
betsey,25,4499,0.9859922
copperfield,108,4582,0.9930817
betsey,25,4499,0.985535
betsey,25,4499,0.98079336
copperfield,33,4707,0.93028927
copperfield,2,4714,0.9308713
betsey,21,4773,0.966496
betsey,21,4773,0.95628434
copperfield,3,4843,0.98281187
betsey,23,4863,0.9661193
betsey,23,4863,0.9474549
copperfield,3,4843,0.96517444
betsey,23,4863,0.977623
copperfield,3,4843,0.9709356
betsey,23,4863,0.9706248
god,229,5069,0.8482566
betsey,11,5113,0.9833786
david,31,5133,0.99879575
copperfield,65,5167,0.96999264
betsey,11,5113,0.9726001
peggotty,7,5249,0.9859121
betsey,31,5273,0.96815467
peggotty,0,5389,0.8866057
chillip,2,5655,0.9925984
chillip,2,5725,0.9932313
chillip,2,5791,0.9908642
chillip,43,5865,0.9888427
chillip,9,5920,0.9977548
chillip,36,6010,0.98130035
chillip,10,6051,0.9934747
betsey,55,6151,0.89925814
chillip,4,6323,0.975382
chillip,2,6390,0.98571455
chillip,2,6390,0.9816637
chillip,29,6548,0.9878845
chillip,23,6588,0.9979701
chillip,23,6588,0.9958956
chillip,2,6708,0.9821788
chillip,2,6708,0.98381543
chillip,35,6797,0.9875641
peggotty,38,6973,0.8241351
peggotty,19,7075,0.9493389
peggotty,36,7347,0.8639137
peggotty,20,7557,0.89340395
peggotty,22,7676,0.89308
peggotty,22,7676,0.72778744
peggotty,14,7729,0.9715114
peggotty,7,7772,0.87788063
lazarus,14,7779,0.8892408
peggotty,35,7983,0.9552284
peggotty,2,8011,0.8568752
bodgers,47,8233,0.983438
bodge,0,8246,0.91365147
bodge,0,8246,0.8643073
chillip,8,8276,0.9947942
chillip,5,8305,0.9984069
peggotty,49,8411,0.9397838
peggotty,13,8662,0.9817913
peggotty,0,8698,0.91374445
peggo,5,8717,0.61917007
peggotty,23,8968,0.9467066
davy,42,8987,0.93352646
peggotty,23,8968,0.9543128
peg,32,9049,0.52300894
peggotty,9,9125,0.96513367
peggotty,6,9146,0.903004
davy,20,9160,0.98744875
peggotty,6,9146,0.9514198
law,27,9167,0.8808027
peggotty,6,9146,0.92599565
peggotty,6,9146,0.9304612
peggotty,6,9146,0.8805964
peggotty,6,9146,0.92902064
peggo,16,9285,0.67820483
peggotty,25,9316,0.8538353
davy,53,9344,0.8957321
peggotty,32,9519,0.96079093
peggotty,32,9519,0.77808523
peggotty,12,9669,0.9749611
davy,14,9878,0.74441975
davy,131,10082,0.8791003
peggotty,0,10174,0.9093841
peggotty,53,10253,0.9315198
peggotty,53,10253,0.82729703
peggotty,53,10253,0.77411985
peggotty,0,10330,0.9209842
peggotty,11,10384,0.93246955
copperfield,33,10406,0.9199089
peggotty,11,10384,0.9766424
peggotty,6,10480,0.8501601
god,10,10484,0.99396825
peggotty,6,10480,0.93131
peggotty,6,10480,0.78629416
peggotty,6,10480,0.9139464
peggotty,7,10619,0.92614
peggo,7,10619,0.8963512
peggotty,11,10787,0.88325906
peggotty,11,10787,0.91115254
peggotty,11,10787,0.8498905
peggo,5,10958,0.652439
davy,30,10990,0.85818684
peggotty,16,11020,0.9017713
peggotty,16,11020,0.83092755
davy,34,11038,0.8477193
peggotty,21,11106,0.74859244
peggotty,0,11413,0.8791397
peggotty,4,11481,0.9387265
peggotty,39,11583,0.8376178
murdstone,16,11681,0.98957807
murdstone,18,11807,0.99047905
peggotty,2,11855,0.9160759
peggotty,2,11855,0.93972856
murdstone,2,11917,0.99360377
hall,23,12289,0.6890467
murdstone,25,12291,0.9644718
murdstone,25,12291,0.9842507
davy,68,12334,0.9986706
murdstone,25,12291,0.9897867
davy,68,12334,0.9902532
jones,86,12352,0.9785347
copperfield,90,12356,0.95803744
murdstone,25,12291,0.9748376
copper,0,12370,0.9851756
qui,18,12388,0.43579212
murdstone,24,12394,0.9951477
brooks,13,12434,0.99269617
murdstone,21,12442,0.9953434
brooks,10,12454,0.9940897
brooks,13,12483,0.9999218
murdstone,31,12501,0.9952473
quinion,10,12519,0.9545204
brooks,21,12530,0.9997975
brooks,21,12530,0.9998622
murdstone,54,12563,0.9957805
quinion,10,12519,0.88634187
brooks,21,12530,0.99930453
brooks,36,12640,0.5053457
skylark,41,12927,0.82651556
murdstone,7,12943,0.99599427
quinion,10,13009,0.96618915
murdstone,19,13018,0.990936
passnidge,39,13038,0.9814741
murdstone,19,13018,0.9952833
murdstone,7,13085,0.9927225
brooks,15,13231,0.9991696
davy,32,13504,0.8756964
davy,0,13607,0.6749883
peggotty,16,13623,0.8359315
peggotty,12,13644,0.8056763
peggotty,19,13693,0.957495
peggotty,54,13769,0.968689
davy,101,13816,0.60709876
peggotty,17,13856,0.9475939
peggotty,17,13856,0.9527938
peggotty,17,13856,0.9395163
ham,78,13917,0.99867636
peggotty,41,13978,0.8867884
peggotty,45,14057,0.9392913
peggotty,45,14057,0.7846984
peggotty,45,14057,0.9107885
grayper,0,14149,0.8030764
murdstone,11,14536,0.99441385
peggotty,0,14575,0.91824657
peggotty,4,14607,0.9123923
peggotty,0,14808,0.94730765
peggotty,0,14850,0.88580996
peggotty,25,15044,0.75678253
peggotty,1,15098,0.8944473
peggotty,64,15198,0.935503
peggotty,64,15198,0.943022
ham,0,15463,0.9948807
peggotty,17,15480,0.9658635
ham,0,15463,0.99499965
davy,117,15580,0.79952884
davy,84,15703,0.7943812
ham,88,15707,0.98340803
aladdin,4,15713,0.990146
roc,9,15718,0.93013823
peggotty,37,16002,0.95086956
abraham,0,16015,0.7735029
isaac,6,16021,0.5665716
daniel,11,16026,0.82821286
peggotty,27,16171,0.80575675
peggotty,8,16345,0.827179
ham,25,16437,0.9649854
peggotty,3,16536,0.93797344
peggotty,3,16536,0.98968464
peggotty,3,16536,0.95862514
peggotty,3,16536,0.9449442
peggotty,3,16536,0.93176323
peggotty,3,16536,0.9255798
peggotty,3,16536,0.952938
peggotty,0,16997,0.9543887
peggo,0,17013,0.549048
ham,0,17046,0.9911466
peggotty,2,17093,0.8900568
peggotty,14,17113,0.93591434
ham,36,17135,0.98036754
peggotty,14,17113,0.92109615
peggotty,31,17197,0.8438859
peggotty,31,17197,0.8427496
joe,62,17228,0.99976784
peggotty,31,17197,0.84104854
peggotty,31,17197,0.84355754
peggotty,31,17197,0.7759997
peggotty,8,17272,0.9563236
ham,11,17275,0.9964318
peggotty,20,17316,0.8882857
peggotty,20,17316,0.81024915
tom,7,17360,0.9998086
peggotty,28,17381,0.9054008
peggotty,28,17381,0.74566746
peggotty,14,17443,0.9569068
peggotty,14,17443,0.9393752
peggotty,14,17443,0.8129079
gum,77,17506,0.91396177
peggotty,14,17443,0.80076
peggotty,14,17443,0.9202225
ham,15,17587,0.9944728
gummidge,0,17621,0.9949179
peggotty,9,17647,0.94838256
ham,39,17837,0.98082745
peggotty,21,17928,0.96189827
dan,83,18418,0.9985234
dan,83,18418,0.9951456
peggotty,94,18429,0.94804
dan,83,18418,0.99395716
peggotty,81,18546,0.8669495
emily,0,18652,0.92195
ham,6,18688,0.96520466
ham,96,18943,0.9963231
em,37,19318,0.9686138
