full_word,sentence_word_index,total_word_index,score
richard,0,11,0.99905175
watson,1,12,0.99724483
steerforth,96,179,0.9518224
steerforth,96,179,0.9921217
em,103,186,0.5217192
dick,122,205,0.99967575
tommy,147,230,0.99744534
micawber,153,236,0.9958566
micawber,153,236,0.8905534
micawber,153,236,0.99165934
steerforth,5,244,0.9888905
steerforth,5,244,0.99374336
dick,85,324,0.9980469
peggotty,2,351,0.99878067
peggotty,2,351,0.96729815
peggotty,2,351,0.947735
micawber,31,380,0.9982089
micawber,31,380,0.8399583
micawber,31,380,0.98811334
david,50,741,0.9999925
copperfield,51,742,0.9999956
copperfield,51,742,0.99949324
charles,3,758,0.94674015
dickens,4,759,0.99591535
david,4,1095,0.9998653
copperfield,5,1096,0.9999465
copperfield,5,1096,0.9946051
david,14,1105,0.9999777
copperfield,15,1106,0.99991
copperfield,15,1106,0.9922691
miss,0,2035,0.6927915
trotwood,1,2036,0.99434716
trotwood,1,2036,0.9712505
trotwood,1,2036,0.9831535
miss,4,2039,0.67175764
betsey,5,2040,0.9797268
betsey,5,2040,0.9749629
betsey,79,2114,0.98053944
betsey,79,2114,0.965961
betsey,9,2157,0.98304796
betsey,9,2157,0.9538469
betsey,4,2356,0.95233256
betsey,4,2356,0.9655636
betsey,15,2612,0.98250705
betsey,15,2612,0.961182
betsey,19,2754,0.9374503
betsey,19,2754,0.94732314
betsey,1,2782,0.97677076
betsey,1,2782,0.98037845
david,0,2857,0.9999902
copperfield,1,2858,0.9999826
copperfield,1,2858,0.99214995
betsey,9,2866,0.99885714
betsey,9,2866,0.9740555
trotwood,41,2898,0.99978393
trotwood,41,2898,0.9916609
trotwood,41,2898,0.99844486
betsey,28,2954,0.9867295
betsey,28,2954,0.8998224
betsey,52,3021,0.9723795
betsey,52,3021,0.91350764
betsey,81,3050,0.9730487
betsey,81,3050,0.9226549
betsey,130,3099,0.97211546
betsey,130,3099,0.94790304
betsey,41,3175,0.93349993
betsey,41,3175,0.7300195
betsey,15,3259,0.9915434
betsey,15,3259,0.98599654
betsey,81,3325,0.9933315
betsey,81,3325,0.9674493
betsey,113,3357,0.99512106
betsey,113,3357,0.98018116
copperfield,146,3390,0.99848676
copperfield,146,3390,0.9155003
betsey,205,3449,0.9633623
betsey,205,3449,0.8676223
betsey,82,3538,0.986803
betsey,82,3538,0.8903417
betsey,113,3569,0.9921119
betsey,113,3569,0.89001185
copperfield,139,3595,0.9994667
copperfield,139,3595,0.9993913
david,170,3626,0.9998561
copperfield,171,3627,0.9997583
copperfield,171,3627,0.9936545
betsey,178,3634,0.9952539
betsey,178,3634,0.8939579
david,181,3637,0.99988604
copperfield,182,3638,0.99978584
copperfield,182,3638,0.9963805
copperfield,220,3676,0.9998061
copperfield,220,3676,0.9954276
betsey,9,3785,0.9750438
betsey,9,3785,0.9310993
betsey,38,3841,0.9870293
betsey,38,3841,0.9509948
betsey,19,3916,0.98987854
betsey,19,3916,0.94119126
betsey,63,3960,0.98871326
betsey,63,3960,0.94681525
betsey,41,4011,0.98070127
betsey,41,4011,0.9365768
peggotty,9,4053,0.9845917
peggotty,9,4053,0.6988913
peggotty,9,4053,0.48906407
peggotty,17,4061,0.9415339
betsey,22,4066,0.99696463
betsey,22,4066,0.962407
peggotty,52,4096,0.9237472
peggotty,52,4096,0.64412344
peggotty,52,4096,0.47891703
copperfield,72,4116,0.99966574
copperfield,72,4116,0.9812515
peggotty,92,4136,0.9577936
peggotty,92,4136,0.5038292
betsey,97,4141,0.9934242
betsey,97,4141,0.9312771
miss,57,4215,0.5197648
betsey,58,4216,0.99596137
betsey,58,4216,0.99290895
betsey,106,4264,0.98995656
betsey,106,4264,0.9900057
betsey,47,4335,0.9832402
betsey,47,4335,0.9209728
betsey,15,4377,0.9769753
betsey,15,4377,0.95442885
trotwood,16,4378,0.99569535
trotwood,16,4378,0.9928281
trotwood,16,4378,0.9837684
copperfield,17,4379,0.99328977
copperfield,17,4379,0.9642126
betsey,9,4390,0.9898982
betsey,9,4390,0.98282987
trotwood,10,4391,0.9984401
trotwood,10,4391,0.93386793
trotwood,10,4391,0.99716336
betsey,14,4440,0.9918108
betsey,14,4440,0.9693467
miss,24,4498,0.57987905
betsey,25,4499,0.99286026
betsey,25,4499,0.9870235
david,55,4529,0.9997117
betsey,65,4539,0.99609154
betsey,65,4539,0.97589284
copperfield,108,4582,0.9996488
copperfield,108,4582,0.9865145
betsey,130,4604,0.99700814
betsey,130,4604,0.97406197
betsey,171,4645,0.99505264
betsey,171,4645,0.96653414
copperfield,33,4707,0.9993686
copperfield,33,4707,0.86120987
