,component 0,component 1,index_inter
0,-3.29451,-0.66934156,104
1,26.25782,-1.7869271,109
2,4.310876,-3.6580336,111
3,-7.554264,-22.274527,115
4,-2.5442905,3.7113814,117
5,-3.3256402,3.4246175,119
6,-1.082748,-5.3010287,123
7,-0.22756973,-0.6141508,125
8,-4.974852,-4.4614,127
9,5.9717555,8.276929,128
10,-1.131466,-5.984766,134
11,-2.5655262,4.5707645,162
12,16.064234,1.4665695,166
13,-2.3015597,13.914258,172
14,3.4634104,-5.3202524,173
15,-6.056083,1.8373331,175
16,-3.3996375,1.4575099,182
17,-6.743374,4.685024,184
18,-1.5626373,5.7835646,188
19,13.989291,-1.4477638,200
20,-3.0675771,1.8023169,204
21,2.48212,-1.6810614,205
22,1.9871022,9.264911,218
23,-8.995944,17.70753,221
24,-1.2638261,-0.6745594,224
25,-1.4663916,1.3016822,227
26,-4.421238,5.277083,228
27,16.921274,17.66675,230
28,-5.1507063,3.0572174,237
29,-0.8961679,3.4332142,244
30,-0.70993054,-1.8314276,249
31,-19.164755,15.903693,257
32,-5.18055,1.8776428,259
33,9.472665,-2.3729606,266
34,8.45209,-2.3117712,289
35,4.6944084,1.8206422,294
36,6.2329392,4.6131735,301
37,-8.646426,-0.4255108,304
38,13.400974,5.644686,337
39,3.6833186,20.931555,345
40,0.38309294,-3.951402,352
41,1.3709164,-2.2970521,353
42,8.178218,1.602298,357
43,5.2784495,-7.140179,364
44,-14.20021,-0.04016687,367
45,-1.971471,1.7140476,390
46,-1.6317339,2.170673,396
47,1.1278297,19.135872,397
48,0.7554482,-2.5298893,406
49,7.597994,-4.9698005,410
50,0.11563238,5.7234364,419
51,4.4105744,-0.89349806,424
52,0.024852188,2.4567916,427
53,1.0873952,-8.953983,437
54,8.4346895,11.684438,438
55,-24.864225,-4.029674,444
56,-3.1757216,-5.887263,451
57,1.4766955,12.458827,452
58,-5.5542445,-7.7432866,454
59,-2.8173811,-12.092154,459
60,-1.2116989,2.823665,467
61,8.658764,-3.9003825,469
62,-2.332088,1.0507073,481
63,4.7400646,-2.7981021,485
64,3.5487702,-2.7842238,491
65,-3.4211373,2.1290445,495
66,-3.1585147,7.1694946,496
67,-9.063776,-11.915726,505
68,-0.20526667,8.996126,508
69,18.787569,-11.973789,515
70,2.9403381,3.0988133,590
71,-1.2059702,-10.566778,603
72,-3.913557,-0.8063719,620
73,-4.383143,8.055929,623
74,-4.0548882,22.315538,635
75,0.32484043,-6.3967357,637
76,1.9785857,-2.5272825,682
77,0.6126725,0.430634,695
78,9.890362,3.10174,698
79,12.323947,-1.4900075,711
80,4.576203,-3.6121314,729
81,5.3826337,-5.161205,753
82,6.6967497,-3.7880807,760
83,-4.513426,-27.739326,764
84,-14.166558,-2.2473514,778
85,0.18518934,3.2094345,779
86,14.152866,0.54215115,794
87,-11.847316,6.211749,817
88,8.640121,9.270669,831
89,2.050985,-1.6620295,837
90,6.4285173,4.5181613,848
91,2.2350469,-3.6327229,856
92,16.036118,15.565828,862
93,-16.757526,-10.745351,1073
94,6.0273724,-16.221039,1100
95,2.4972236,-20.4362,1208
96,20.020185,12.766442,1222
97,-8.809503,-0.62051636,1227
98,3.244705,-6.894199,1230
99,8.113039,3.6035147,1234
100,8.571809,1.7799494,1236
101,16.79061,-13.075295,1242
102,-2.1648269,7.4488306,1248
103,15.60077,19.012318,1252
104,-5.026703,-0.30066618,1257
105,25.630415,4.4198685,1444
106,2.928233,0.40782198,1551
107,6.581381,6.946213,1691
108,-9.589383,8.5064125,1766
109,-3.6291878,-10.7812395,1929
110,-3.963641,4.180258,2650
111,0.8894828,-5.292742,2660
112,-3.2710361,1.7108566,2661
113,9.120933,7.4121494,2695
114,-3.2448702,1.6037515,2911
115,-20.641317,-11.07967,2924
116,2.6115036,1.3430517,2936
117,9.565997,-2.6761165,2968
118,-6.558383,-2.9443164,3002
119,8.465805,7.7763295,3022
120,-19.824106,-4.1911764,3045
