,component 0,component 1,index_inter
0,-0.3519975,9.5315275,104
1,3.1823664,5.126595,109
2,0.30215922,-7.9217,111
3,-38.109795,10.681139,115
4,-8.601478,-1.0400147,117
5,2.4158747,-10.582814,119
6,8.591476,-2.0662718,123
7,-0.93150634,5.160691,125
8,-8.047484,-0.6731125,127
9,0.7244514,7.8186445,128
10,-0.332348,-1.7521535,134
11,-2.4087899,4.158721,162
12,-7.7451005,5.7256026,166
13,-10.317042,-0.25917488,172
14,-1.0129164,-0.41306436,173
15,8.544115,-8.316133,175
16,1.2387972,1.0247257,182
17,0.9757099,-3.2406425,184
18,-1.8318309,4.0630903,188
19,-6.466092,4.424976,200
20,1.6469282,-4.217694,204
21,0.056328546,0.8098473,205
22,6.037812,-3.7093258,218
23,2.5889318,-27.92959,221
24,-0.9048677,3.7004623,224
25,-1.6165866,-2.0409431,227
26,-2.3665931,4.2942853,228
27,2.4508693,-12.594162,230
28,-3.8735802,-22.149258,237
29,0.85881,-2.024997,244
30,7.9308963,0.28994188,249
31,5.9709167,-3.0632699,257
32,0.4190611,-1.3635381,259
33,-0.4989601,-1.2129948,266
34,-7.534704,-11.464448,289
35,2.3442075,1.4835662,294
36,-11.080235,25.261555,301
37,-14.510289,-1.5646253,304
38,33.954407,24.704765,337
39,4.156582,-0.17999509,345
40,-2.9681323,4.232438,352
41,-3.108387,0.0058216034,353
42,0.64459586,3.8976648,357
43,-3.4227831,-9.466167,364
44,-1.2487179,0.6796094,367
45,3.467922,-0.28353623,390
46,-1.651035,-16.390024,396
47,0.16461907,7.3342447,397
48,-1.7003127,13.99079,406
49,12.319992,1.0581014,410
50,-1.7401758,2.6560996,419
51,-0.0025204106,1.109523,424
52,0.3291027,0.73269707,427
53,-9.400571,-3.0117266,437
54,-15.883332,13.684405,438
55,-10.566329,4.3361244,444
56,8.208936,5.820633,451
57,-11.3422785,3.8118646,452
58,-3.5705,5.1897726,454
59,0.5811703,-2.59166,459
60,-1.7560813,4.1202927,467
61,2.3912158,4.8199444,469
62,-4.4610515,-3.807619,481
63,1.8273947,3.4502022,485
64,8.7912035,-1.9837089,491
65,-1.7111421,-1.5451047,495
66,5.6824555,-0.86625147,496
67,2.1584878,1.6266083,505
68,-5.920393,0.11641901,508
69,9.597924,2.1424012,515
70,5.251369,0.055867974,590
71,-10.691766,7.2983894,603
72,1.0208197,0.017435716,620
73,20.607883,-25.080048,623
74,-27.203037,-2.1054912,635
75,-3.95424,0.5532816,637
76,0.7938527,-1.1488323,682
77,0.0299903,1.1293772,695
78,3.0086112,-1.2286153,698
79,0.251475,0.38985887,711
80,3.2013316,-5.2965264,729
81,-0.28025377,-0.42973596,753
82,3.9150355,-4.9838886,760
83,2.6036825,16.466694,764
84,2.3200452,2.9282575,778
85,1.3279762,4.3633013,779
86,4.3011503,0.17225684,794
87,40.6779,-33.698154,817
88,-5.187829,3.7708092,831
89,-0.7105383,0.01300578,837
90,-1.1067741,-8.322097,848
91,3.2900622,1.8927066,856
92,6.923194,-0.2326372,862
93,6.5908813,9.014712,1073
94,-14.113343,1.521408,1100
95,-1.698061,-5.498679,1208
96,7.649447,-4.8646812,1222
97,7.510925,-2.7780957,1227
98,9.254112,5.1639743,1230
99,0.1509103,-0.4177855,1234
100,-1.1123122,-3.8742125,1236
101,-6.6773586,-1.4411067,1242
102,-4.819117,2.7625456,1248
103,-11.3876095,23.804617,1252
104,4.7832437,6.5042944,1257
105,-18.489206,-2.921999,1444
106,-0.9493176,-0.8801714,1551
107,2.936056,-2.4413934,1691
108,-12.285192,-1.8200818,1766
109,-3.4138324,11.2812,1929
110,4.6819386,-3.8234193,2650
111,-1.7608781,-0.5603307,2660
112,-1.1999346,0.31118917,2661
113,-9.659076,-8.153672,2695
114,1.316645,1.4419456,2911
115,23.87666,-11.203192,2924
116,-6.9061155,7.436459,2936
117,3.163466,-2.217072,2968
118,-1.9767115,1.0069681,3002
119,-5.4626293,-8.63133,3022
120,-1.2955023,9.144777,3045
