,component 0,component 1,index_inter
0,4.521886,9.312623,104
1,-1.630664,-0.083414786,109
2,13.13599,2.9213107,111
3,14.555695,3.6301868,115
4,-1.4498821,1.5189139,117
5,-3.2804172,14.712434,119
6,-6.5642805,16.212933,123
7,2.7297037,-1.5991465,125
8,9.971554,0.115013935,127
9,0.95773965,14.220794,128
10,-5.0376544,12.430946,134
11,-3.2968237,12.854646,162
12,3.4010997,19.361328,166
13,9.361197,3.9018936,172
14,3.3152993,12.155882,173
15,8.8685465,-4.5688176,175
16,4.6215878,3.494133,182
17,6.633779,9.653945,184
18,-16.30663,14.256969,188
19,14.961942,2.852566,200
20,6.8941207,-0.56086206,204
21,6.0717063,3.4020555,205
22,-0.8715927,0.80776036,218
23,12.585846,9.199455,221
24,-0.6132797,3.9704819,224
25,8.977367,2.8322492,227
26,15.376457,7.129653,228
27,-6.0994596,-1.4752527,230
28,11.936825,-2.5683503,237
29,2.1261165,-4.626292,244
30,2.061602,0.28119496,249
31,4.20148,8.016308,257
32,3.1127944,11.62458,259
33,15.580868,7.1349893,266
34,2.2142015,7.548732,289
35,2.9500134,8.374851,294
36,9.442149,4.393193,301
37,5.4432335,5.812488,304
38,2.7141962,12.394782,337
39,14.787712,0.34902054,345
40,3.6026247,6.5829825,352
41,6.765775,8.397289,353
42,-3.195023,10.197997,357
43,16.596443,5.1129923,364
44,7.601198,1.945146,367
45,0.38949543,4.392984,390
46,12.928113,-4.6421,396
47,9.523373,8.001949,397
48,8.635659,4.25648,406
49,15.3953705,-1.2375529,410
50,21.923399,12.958372,419
51,8.809186,21.191956,424
52,5.5922003,2.1232545,427
53,11.348045,10.14285,437
54,4.292533,7.399751,438
55,3.866814,12.035562,444
56,2.3386953,5.9942026,451
57,-8.900578,12.374006,452
58,10.186492,11.173921,454
59,9.074962,5.8748546,459
60,-1.9315809,-9.196903,467
61,9.12037,-1.2254162,469
62,10.679865,3.0435095,481
63,7.9640546,-4.703564,485
64,3.7793903,9.528749,491
65,0.71811885,5.7978206,495
66,24.53116,-2.653934,496
67,-3.8366828,21.341194,505
68,6.3853354,8.498371,508
69,5.181508,4.040803,515
70,-0.68156916,-1.2582502,590
71,5.836226,13.23614,603
72,5.6034374,-2.2792857,620
73,11.815613,6.3288846,623
74,14.229915,4.2727027,635
75,4.766236,3.5968587,637
76,12.268384,0.3084044,682
77,1.2189846,10.613509,695
78,6.5165343,4.9898934,698
79,5.9897285,19.098164,711
80,1.5650543,8.643626,729
81,15.454155,1.5658314,753
82,16.298952,-0.31582215,760
83,-0.9880334,-0.07854422,764
84,5.388872,9.300876,778
85,2.0410154,-0.07457979,779
86,11.960491,6.59637,794
87,1.1741536,4.746916,817
88,28.78304,-0.9578617,831
89,-1.4142445,6.894682,837
90,14.535024,1.9072804,848
91,-3.2505364,18.653423,856
92,6.213151,10.3206415,862
93,3.7776322,7.1551504,1073
94,-3.83618,2.7941952,1100
95,16.410282,0.94068855,1208
96,-4.8445354,9.205423,1222
97,13.544412,9.215296,1227
98,7.6951833,10.873825,1230
99,3.8425746,3.2825267,1234
100,14.256214,4.1942606,1236
101,0.34626377,3.3286376,1242
102,0.9916104,-7.250049,1248
103,-0.108808585,-5.90501,1252
104,6.00852,6.282435,1257
105,11.77828,6.865091,1444
106,8.703781,8.995011,1551
107,15.538169,7.7893066,1691
108,5.1110926,-0.51033247,1766
109,7.4828258,19.688524,1929
110,-0.5534747,9.012934,2650
111,0.588843,-1.3947939,2660
112,4.9878783,11.590101,2661
113,9.303643,7.7347207,2695
114,18.260586,-0.32340416,2911
115,2.276451,15.63359,2924
116,0.9780343,19.301176,2936
117,-1.2567145,12.755666,2968
118,-0.48134238,-4.399178,3002
119,14.381226,0.33526057,3022
120,0.8285619,9.796505,3045
